timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-09-01T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-28T02:37:00.000Z";"2024-09-06T21:04:00.000Z";"2781";0.0097446026764;0.0132237912;0.00827061002756;0.0117976409;827478797.27;318398709.21;"2024-09-30T23:59:59.999Z"
"2024-08-01T00:00:00.000Z";"2024-08-31T23:59:59.999Z";"2024-08-01T01:05:00.000Z";"2024-08-05T06:44:00.000Z";"2781";0.0138818019;0.0140369281;0.00811034721333;0.0097446026764;1170236777.75;245450517.51;"2024-08-31T23:59:59.999Z"
"2024-07-01T00:00:00.000Z";"2024-07-31T23:59:59.999Z";"2024-07-01T01:58:00.000Z";"2024-07-05T08:47:00.000Z";"2781";0.0185405882;0.0191705637;0.0122764929;0.0138818019;1600098365.2;316617788.76;"2024-07-31T23:59:59.999Z"
"2024-06-01T00:00:00.000Z";"2024-06-30T23:59:59.999Z";"2024-06-05T07:43:00.000Z";"2024-06-18T14:08:00.000Z";"2781";0.0300233595;0.0307974511;0.016883552;0.0185398329;1639303832.86;386461669.31;"2024-06-30T23:59:59.999Z"
"2024-05-01T00:00:00.000Z";"2024-05-31T23:59:59.999Z";"2024-05-29T05:23:00.000Z";"2024-05-01T08:25:00.000Z";"2781";0.0240040961;0.0333940731;0.0222922217;0.030023353;2455352972.81;576590631.58;"2024-05-31T23:59:59.999Z"
"2024-04-01T00:00:00.000Z";"2024-04-30T23:59:59.999Z";"2024-04-02T06:22:00.000Z";"2024-04-13T20:10:00.000Z";"2781";0.0395203478;0.0445468023;0.0221880246;0.0240040961;2623898654.28;289181584.56;"2024-04-30T23:59:59.999Z"
"2024-03-01T00:00:00.000Z";"2024-03-31T23:59:59.999Z";"2024-03-04T02:07:00.000Z";"2024-03-01T00:00:00.000Z";"2781";0.0316021572;0.0570584709;0.0316021572;0.0395204125;6791150240.19;462933316.18;"2024-03-31T23:59:59.999Z"
"2024-02-01T00:00:00.000Z";"2024-02-29T23:59:59.999Z";"2024-02-27T19:20:00.000Z";"2024-02-01T01:57:00.000Z";"2781";0.0218228847;0.0381599639;0.0211614116;0.0316102317;2157720331.19;333685269.36;"2024-02-29T23:59:59.999Z"
"2024-01-01T00:00:00.000Z";"2024-01-31T23:59:59.999Z";"2024-01-04T08:19:00.000Z";"2024-01-03T12:13:00.000Z";"2781";0.0272526041;0.0307562498;0.019693131;0.0218217582;2491817325.62;225278055.89;"2024-01-31T23:59:59.999Z"
"2023-12-01T00:00:00.000Z";"2023-12-31T23:59:59.999Z";"2023-12-06T01:01:00.000Z";"2023-12-29T01:44:00.000Z";"2781";0.0271432563;0.0470187838;0.0268625653;0.0272556127;5999937431.47;241685340.67;"2023-12-31T23:59:59.999Z"
